from,to,amount,miner,mined_amount
12nMmy8JyvdC6wHLyWHe2MqtWQD19dWVg5,1Gdu1QJtMyneXZxEarGjvKjrUvsQuhcVce,14916,1PZhUgGxgPPZ67i8foFU8DerjxWJGGKGSE,3139
191F93kVmDroKD9UwAvNoEXp4u8cRGnoru,1Er1HgY2K6QyJUEN6d1hMiiYmQL95KZbyo,15248,16oMnN1eAdeGMKEvqZTmXSwUuKi86ZZPvU,630
1JSaxNzW2U1uYXDKRB4omuMTwBsa4W7K71,19q4TguRMVR4BWRJ6s3F3cDLtj3u8qDwLE,243,19a5wU37AZJBgdfiLVHrHwCWvr46BUCvmn,46
1KCyDcUGgXsSqgLXafzr7JaSihfHNnuvdN,14zTvKSHNrtHtNoMxzjcFKgv952cP51wS3,8348,1MNZH6qD2NPyqwggJeXpcLic7919qoJqe8,412
1AC5E8Gf6Kn2gUZ5z429PuQLmDrrz3hKi9,1CFmhH9MQecm3SxjRVv58rTcLSS9RyYRau,475,1HLAP4oyhTD1hWVau2eKqQq1EhAiiuS4nB,39
1LcxVmwpBa25Lx77kehHHgk12HKX6nscN5,1CCnsWkLtSTC6rmjog93NpWqsj3Lw8Dpte,332,1KAXC26wA2MAqGC75hDkCeE8p4W6xiwHdt,9
1C2QgtnX8uJjdsB7YBXzLVtSnc8HdiaW1W,1DkLeoqWSgLL1tXiRySZqNyfjbFVh5M7dT,9559,1BunyGETTFLexvLKgz9MBBmw21jyD1pA23,59
191QUQQMS4CNnGj79BXiRjukTyrfW9kyFX,1H5fFNDN896FFHuEm5piZb47aR7t5sSfXi,623,1BunyGETTFLexvLKgz9MBBmw21jyD1pA23,46
14gwBM7uZQ3izxBM7bJWW8dNFy5xteqAor,1LpKTLeRhJzqb1njVUabbHfj5YjLLJiaGy,891,17s2zeW2HqVYFvKs855gpqbqkicpuSaKLv,156
1PZhUgGxgPPZ67i8foFU8DerjxWJGGKGSE,1CHRKZSfpDf6KeaZjSkNUHq9473HWYyNwc,1473,1bgQAJACqPgPKTW1JdctYw7HoXfvynhy7,95
1AC5E8Gf6Kn2gUZ5z429PuQLmDrrz3hKi9,1JSaxNzW2U1uYXDKRB4omuMTwBsa4W7K71,1077,1DRytcR9i67Vqsa6raT73i1qBUfdvWZjAM,69
1HVq1VR2JTRaxaMwNfAzK6WsTvW7c5GcYo,15qHKbWXt24PGeWmFGGqX1GrzGgwZFDHfL,10884,1CAzFPK2HjTtjbWunEcayGgCr6sC2Enyx8,3223
16oMnN1eAdeGMKEvqZTmXSwUuKi86ZZPvU,1LpKTLeRhJzqb1njVUabbHfj5YjLLJiaGy,8902,1LxcLFdbXaSJtbqgC7zbgNCwKARX38tPws,2720
1F3xDi6HynCarvNTSMfX1WRmjuFGSM6UZn,1HUcT2pMbbn3wyUmkYQQUAZSqGqRo8b1Rs,3331,1NVv5TMh3RcDHwzbiL6Qa57jKaKFPmSWvu,1045
19q4TguRMVR4BWRJ6s3F3cDLtj3u8qDwLE,191F93kVmDroKD9UwAvNoEXp4u8cRGnoru,2802,1Gdu1QJtMyneXZxEarGjvKjrUvsQuhcVce,749
1CHRKZSfpDf6KeaZjSkNUHq9473HWYyNwc,1BtE6E1Dn8u8d7SmdHMC5nS8xPAc7hYDuY,1934,1Bj2kmqKfgsQHqvREFtJCKNbBLj47vgVde,110
14WrivJi92pLxTRnNYA6Bgo4BH9pnk55uA,1JSaxNzW2U1uYXDKRB4omuMTwBsa4W7K71,3452,14yek9VuRsZKuKQ18u8qbZVsubhbHA7dtz,785
1DBzTHJBE4rMUkRJGU2Yyaep1B5verMsEs,1AC5E8Gf6Kn2gUZ5z429PuQLmDrrz3hKi9,746,1w19bnfrA9ze17oHjGh6hcw2C2fzgPMsB,193
1CCnsWkLtSTC6rmjog93NpWqsj3Lw8Dpte,17cZi6pbLynaqtLSvUHxSBMvSYJa3RMdbd,487,1KCyDcUGgXsSqgLXafzr7JaSihfHNnuvdN,26
14yek9VuRsZKuKQ18u8qbZVsubhbHA7dtz,1DwrFDDHkkU8TMQahyn6hGtay63QhZncVe,1594,1PuUTUzvLk3mPBYZZizwkkZfRdVcUnK7PY,441
1HVq1VR2JTRaxaMwNfAzK6WsTvW7c5GcYo,19DJUdkYStgkhnZz9fnCDf6rHVydBN5Wek,1089,12AqMUKo2h9w9T34BKsx4uokpDpYqJMXz9,315
14zTvKSHNrtHtNoMxzjcFKgv952cP51wS3,1MroLNii6bv59ZfAv9D9K1F8R7rW88qfsj,17974,1BunyGETTFLexvLKgz9MBBmw21jyD1pA23,4961
1CHRKZSfpDf6KeaZjSkNUHq9473HWYyNwc,18MW5wfuxV1H2oFGdEBaLQLbPxF7yASrX3,5048,19a5wU37AZJBgdfiLVHrHwCWvr46BUCvmn,746
14yek9VuRsZKuKQ18u8qbZVsubhbHA7dtz,15qHKbWXt24PGeWmFGGqX1GrzGgwZFDHfL,23,1CCnsWkLtSTC6rmjog93NpWqsj3Lw8Dpte,3
1LpKTLeRhJzqb1njVUabbHfj5YjLLJiaGy,1H5fFNDN896FFHuEm5piZb47aR7t5sSfXi,169,1NmombJqagqGRsexABTzPrBGsUy3ByHmTg,43
1EBmDxYNUozqWbmLK3YFuJeidgC766AoHw,1KnRgBHMwZzzRj7DoNMq66tgbYXpB3wnRb,1662,19yewcFu7XjV6v9pAuBbfUmZiebbyYEP8Q,8
1Df1oTe73Mw7BXDSxHqjA1FLWLuBMhZ1DG,15qHKbWXt24PGeWmFGGqX1GrzGgwZFDHfL,9408,191QUQQMS4CNnGj79BXiRjukTyrfW9kyFX,1647
1w19bnfrA9ze17oHjGh6hcw2C2fzgPMsB,1Er1HgY2K6QyJUEN6d1hMiiYmQL95KZbyo,2434,1AC5E8Gf6Kn2gUZ5z429PuQLmDrrz3hKi9,634
16oMnN1eAdeGMKEvqZTmXSwUuKi86ZZPvU,1F1gfiAinHQhfupuknrudeZrxw5ZVMocW2,587,1PuUTUzvLk3mPBYZZizwkkZfRdVcUnK7PY,140
1FZtvE448GJyF5MhmN5ivB62pNPgp1b58W,14zTvKSHNrtHtNoMxzjcFKgv952cP51wS3,14833,1PuUTUzvLk3mPBYZZizwkkZfRdVcUnK7PY,1922
1DBzTHJBE4rMUkRJGU2Yyaep1B5verMsEs,1CFmhH9MQecm3SxjRVv58rTcLSS9RyYRau,188,1GP1BxSFQzBffsr5Ke8WqfpCtm71Zmpign,54
1AhuUQdovKNjjy7p6BR9LVnRh1KjQ7Hmdy,1HUcT2pMbbn3wyUmkYQQUAZSqGqRo8b1Rs,771,12AqMUKo2h9w9T34BKsx4uokpDpYqJMXz9,45
1Am4idjLCiwwNwPWthGNGTbvTDde4TyHhz,1Fd4k2UNaE4hu1grX5ZERCQaeJmV9FqEnk,5897,1DRytcR9i67Vqsa6raT73i1qBUfdvWZjAM,691
1Df1oTe73Mw7BXDSxHqjA1FLWLuBMhZ1DG,1KGWCycGbKxyByfYNv6W7f9RWswYgDMGBS,448,1Dt1XYKUwg8q9xYxL21VpUTy11yHfYxQDu,15
14zTvKSHNrtHtNoMxzjcFKgv952cP51wS3,19itDtcEVfFvRGFqFBu9YJfwVMbsLNRcCn,4470,12KtoQP2CSubNWDvLiju4PNE8a8nGDmCKH,1015
1QLFBu69pibsjvm4Hxhb1V78BvEdC9R7nQ,1GZpsHrqEt9A6Lo24RMeUSrXko3mt84Q4t,2540,1AHBbPFeC9QEJKdadCf4Z882Z9PoVBnxjh,290
1AzSMLb39QtshdUjvY5TxwXCsnMRcuo6Lc,1DkLeoqWSgLL1tXiRySZqNyfjbFVh5M7dT,13547,1Gdu1QJtMyneXZxEarGjvKjrUvsQuhcVce,4159
1HVq1VR2JTRaxaMwNfAzK6WsTvW7c5GcYo,1CCnsWkLtSTC6rmjog93NpWqsj3Lw8Dpte,427,1KXFVBSRFeVEnX6uUgFadZCwqUS15NJ8yt,113
13mbFNJeKAcUSEFt17TyPt4EPS7yb8zxA8,1KGWCycGbKxyByfYNv6W7f9RWswYgDMGBS,6223,19a5wU37AZJBgdfiLVHrHwCWvr46BUCvmn,1060
17i6Y2533pJ3ezfAL5Dh6JVry8xWTxKifz,1F3xDi6HynCarvNTSMfX1WRmjuFGSM6UZn,6484,1LcxVmwpBa25Lx77kehHHgk12HKX6nscN5,714
1DRytcR9i67Vqsa6raT73i1qBUfdvWZjAM,1CHRKZSfpDf6KeaZjSkNUHq9473HWYyNwc,4596,1NVv5TMh3RcDHwzbiL6Qa57jKaKFPmSWvu,1287
1KnRgBHMwZzzRj7DoNMq66tgbYXpB3wnRb,1MroLNii6bv59ZfAv9D9K1F8R7rW88qfsj,1696,1MVL4w2rbt2XmHWjPW2U2zJ8FoySJXAJ62,210
1L9WUPZehgDPQcDR9fTvM89vaVxKGsBHan,1FCMALwX3ShRo6gtLrnymk9G9hbfWyQqWv,19965,1QLFBu69pibsjvm4Hxhb1V78BvEdC9R7nQ,596
1EAC4NGfjvtsPMfoFfEmKAj1swBoFNaZGG,1LNTWMNTtFChq3tthtKvwLhUuWMtSxi8Kz,10234,1v75qAzwNxhLAFsCBgrPfRzb1rpcHS7j7,690
1Jst7ScTCeLVVRasF4512z7xFEMHzKF267,12nMmy8JyvdC6wHLyWHe2MqtWQD19dWVg5,6190,191F93kVmDroKD9UwAvNoEXp4u8cRGnoru,1099
1QLFBu69pibsjvm4Hxhb1V78BvEdC9R7nQ,1NmombJqagqGRsexABTzPrBGsUy3ByHmTg,24756,1GP1BxSFQzBffsr5Ke8WqfpCtm71Zmpign,866
12AqMUKo2h9w9T34BKsx4uokpDpYqJMXz9,1LxtJDsMFsT7GCVfXye1RX3Gne7v51KWGg,362,1Gdu1QJtMyneXZxEarGjvKjrUvsQuhcVce,102
1Gdu1QJtMyneXZxEarGjvKjrUvsQuhcVce,17s2zeW2HqVYFvKs855gpqbqkicpuSaKLv,3712,1Ao9kmjgcv3zmAswtbpXormfmT6wfthBz7,843
1PuUTUzvLk3mPBYZZizwkkZfRdVcUnK7PY,1LxcLFdbXaSJtbqgC7zbgNCwKARX38tPws,642,1Jst7ScTCeLVVRasF4512z7xFEMHzKF267,158
1FZtvE448GJyF5MhmN5ivB62pNPgp1b58W,1F1gfiAinHQhfupuknrudeZrxw5ZVMocW2,36,1DM8bnAn7gUsa11YHe1MJCDnRuV5u3jdrU,3
1PuUTUzvLk3mPBYZZizwkkZfRdVcUnK7PY,1FCMALwX3ShRo6gtLrnymk9G9hbfWyQqWv,8573,1LxtJDsMFsT7GCVfXye1RX3Gne7v51KWGg,2393
1KCyDcUGgXsSqgLXafzr7JaSihfHNnuvdN,1LcxVmwpBa25Lx77kehHHgk12HKX6nscN5,43,164umqoJZv4nqPTZZUdt6P8ptfdv8frhQD,15
1NTqc6MrAyvkLbWbBSPTFp6aqh51WT2eHa,1BTagrcapEX9Fkiidb1MCB9Z37YaNZLAaF,827,1KCyDcUGgXsSqgLXafzr7JaSihfHNnuvdN,206
1MNZH6qD2NPyqwggJeXpcLic7919qoJqe8,1PuUTUzvLk3mPBYZZizwkkZfRdVcUnK7PY,1116,1EBmDxYNUozqWbmLK3YFuJeidgC766AoHw,53
1Df1oTe73Mw7BXDSxHqjA1FLWLuBMhZ1DG,1Ao9kmjgcv3zmAswtbpXormfmT6wfthBz7,13,1Ao9kmjgcv3zmAswtbpXormfmT6wfthBz7,1
1EAC4NGfjvtsPMfoFfEmKAj1swBoFNaZGG,1NmombJqagqGRsexABTzPrBGsUy3ByHmTg,777,17hkhmJ657YdP5ce9MA85sx6iun153BmFE,79
1bgQAJACqPgPKTW1JdctYw7HoXfvynhy7,1CFmhH9MQecm3SxjRVv58rTcLSS9RyYRau,5701,1Lg8NaH59PjmGXTVpfqekriwE2nRmHsip3,78
1KCyDcUGgXsSqgLXafzr7JaSihfHNnuvdN,1GP1BxSFQzBffsr5Ke8WqfpCtm71Zmpign,216,1DRytcR9i67Vqsa6raT73i1qBUfdvWZjAM,68
